Year,date,Sea Level,source
1880,07/15/1880,-183.2473958,historical
1881,07/15/1881,-174.0140625,historical
1882,07/15/1882,-190.0807292,historical
1883,07/15/1883,-185.1473958,historical
1884,07/15/1884,-166.2807292,historical
1885,07/15/1885,-167.6807292,historical
1886,07/15/1886,-164.2140625,historical
1887,07/15/1887,-170.2140625,historical
1888,07/15/1888,-172.6140625,historical
1889,07/15/1889,-169.7140625,historical
1890,07/15/1890,-166.9807292,historical
1891,07/15/1891,-167.7140625,historical
1892,07/15/1892,-167.5807292,historical
1893,07/15/1893,-162.9807292,historical
1894,07/15/1894,-176.8807292,historical
1895,07/15/1895,-163.1473958,historical
1896,07/15/1896,-160.3140625,historical
1897,07/15/1897,-152.1473958,historical
1898,07/15/1898,-157.1140625,historical
1899,07/15/1899,-151.6807292,historical
1900,7/15/1900,-152.0473958,historical
1901,7/15/1901,-156.5473958,historical
1902,7/15/1902,-153.7140625,historical
1903,7/15/1903,-138.3473958,historical
1904,7/15/1904,-152.2473958,historical
1905,7/15/1905,-154.4140625,historical
1906,7/15/1906,-146.8473958,historical
1907,7/15/1907,-147.3807292,historical
1908,7/15/1908,-149.6140625,historical
1909,7/15/1909,-152.7807292,historical
1910,7/15/1910,-146.3140625,historical
1911,7/15/1911,-141.3807292,historical
1912,7/15/1912,-142.6473958,historical
1913,7/15/1913,-140.3140625,historical
1914,7/15/1914,-143.6140625,historical
1915,7/15/1915,-135.9473958,historical
1916,7/15/1916,-134.7807292,historical
1917,7/15/1917,-134.4807292,historical
1918,7/15/1918,-135.7140625,historical
1919,7/15/1919,-128.4807292,historical
1920,7/15/1920,-127.1807292,historical
1921,7/15/1921,-129.5473958,historical
1922,7/15/1922,-133.6473958,historical
1923,7/15/1923,-129.5473958,historical
1924,7/15/1924,-138.9807292,historical
1925,7/15/1925,-138.4473958,historical
1926,7/15/1926,-126.2807292,historical
1927,7/15/1927,-127.7473958,historical
1928,7/15/1928,-128.8807292,historical
1929,7/15/1929,-129.0807292,historical
1930,7/15/1930,-122.9140625,historical
1931,7/15/1931,-126.7473958,historical
1932,7/15/1932,-125.1473958,historical
1933,7/15/1933,-119.9807292,historical
1934,7/15/1934,-127.3473958,historical
1935,7/15/1935,-118.1473958,historical
1936,7/15/1936,-124.8140625,historical
1937,7/15/1937,-119.8807292,historical
1938,7/15/1938,-121.5473958,historical
1939,7/15/1939,-101.4807292,historical
1940,7/15/1940,-121.6807292,historical
1941,7/15/1941,-100.7473958,historical
1942,7/15/1942,-101.4473958,historical
1943,7/15/1943,-104.0140625,historical
1944,7/15/1944,-116.9473958,historical
1945,7/15/1945,-104.4473958,historical
1946,7/15/1946,-92.68072917,historical
1947,7/15/1947,-97.44739583,historical
1948,7/15/1948,-91.8140625,historical
1949,7/15/1949,-95.4140625,historical
1950,7/15/1950,-91.44739583,historical
1951,7/15/1951,-82.3140625,historical
1952,7/15/1952,-84.48072917,historical
1953,7/15/1953,-75.34739583,historical
1954,7/15/1954,-86.7140625,historical
1955,7/15/1955,-87.44739583,historical
1956,7/15/1956,-86.58072917,historical
1957,7/15/1957,-69.54739583,historical
1958,7/15/1958,-72.9140625,historical
1959,7/15/1959,-70.2140625,historical
1960,7/15/1960,-66.88072917,historical
1961,7/15/1961,-60.74739583,historical
1962,7/15/1962,-68.04739583,historical
1963,7/15/1963,-69.9140625,historical
1964,7/15/1964,-70.98072917,historical
1965,7/15/1965,-66.3140625,historical
1966,7/15/1966,-70.48072917,historical
1967,7/15/1967,-66.44739583,historical
1968,7/15/1968,-72.8140625,historical
1969,7/15/1969,-62.6140625,historical
1970,7/15/1970,-64.74739583,historical
1971,7/15/1971,-60.48072917,historical
1972,7/15/1972,-43.7140625,historical
1973,7/15/1973,-56.74739583,historical
1974,7/15/1974,-43.18072917,historical
1975,7/15/1975,-45.84739583,historical
1976,7/15/1976,-44.74739583,historical
1977,7/15/1977,-48.5140625,historical
1978,7/15/1978,-41.8140625,historical
1979,7/15/1979,-46.8140625,historical
1980,7/15/1980,-41.88072917,historical
1981,7/15/1981,-25.98072917,historical
1982,7/15/1982,-37.88072917,historical
1983,7/15/1983,-22.28072917,historical
1984,7/15/1984,-21.7140625,historical
1985,7/15/1985,-36.98072917,historical
1986,7/15/1986,-35.18072917,historical
1987,7/15/1987,-33.24739583,historical
1988,7/15/1988,-28.84739583,historical
1989,7/15/1989,-25.14739583,historical
