dt,AverageTemperature,AverageTemperatureUncertainty,State,Country,id
1743-11-01,4.537,2.943,Adygey,Russia,1
1743-12-01,,,Adygey,Russia,1
1744-01-01,,,Adygey,Russia,1
1744-02-01,,,Adygey,Russia,1
1744-03-01,,,Adygey,Russia,1
1744-04-01,11.89,3.005,Adygey,Russia,1
1744-05-01,13.252,2.92,Adygey,Russia,1
1744-06-01,18.127,2.928,Adygey,Russia,1
1744-07-01,20.885,2.907,Adygey,Russia,1
1744-08-01,,,Adygey,Russia,1
1744-09-01,15.754,2.917,Adygey,Russia,1
1744-10-01,8.754000000000001,2.937,Adygey,Russia,1
1744-11-01,5.388,2.8960000000000004,Adygey,Russia,1
1744-12-01,0.7390000000000001,2.949,Adygey,Russia,1
1745-01-01,-2.6580000000000004,2.934,Adygey,Russia,1
1745-02-01,-0.991,2.898,Adygey,Russia,1
1745-03-01,2.021,2.8760000000000003,Adygey,Russia,1
1745-04-01,8.915000000000003,2.875,Adygey,Russia,1
1745-05-01,,,Adygey,Russia,1
1745-06-01,,,Adygey,Russia,1
1745-07-01,,,Adygey,Russia,1
1745-08-01,,,Adygey,Russia,1
1745-09-01,,,Adygey,Russia,1
1745-10-01,,,Adygey,Russia,1
1745-11-01,,,Adygey,Russia,1
1745-12-01,,,Adygey,Russia,1
1746-01-01,,,Adygey,Russia,1
1746-02-01,,,Adygey,Russia,1
1746-03-01,,,Adygey,Russia,1
1746-04-01,,,Adygey,Russia,1
1746-05-01,,,Adygey,Russia,1
1746-06-01,,,Adygey,Russia,1
1746-07-01,,,Adygey,Russia,1
1746-08-01,,,Adygey,Russia,1
1746-09-01,,,Adygey,Russia,1
1746-10-01,,,Adygey,Russia,1
1746-11-01,,,Adygey,Russia,1
1746-12-01,,,Adygey,Russia,1
1747-01-01,,,Adygey,Russia,1
1747-02-01,,,Adygey,Russia,1
1747-03-01,,,Adygey,Russia,1
1747-04-01,,,Adygey,Russia,1
1747-05-01,,,Adygey,Russia,1
1747-06-01,,,Adygey,Russia,1
1747-07-01,,,Adygey,Russia,1
1747-08-01,,,Adygey,Russia,1
1747-09-01,,,Adygey,Russia,1
1747-10-01,,,Adygey,Russia,1
1747-11-01,,,Adygey,Russia,1
1747-12-01,,,Adygey,Russia,1
1748-01-01,,,Adygey,Russia,1
1748-02-01,,,Adygey,Russia,1
1748-03-01,,,Adygey,Russia,1
1748-04-01,,,Adygey,Russia,1
1748-05-01,,,Adygey,Russia,1
1748-06-01,,,Adygey,Russia,1
1748-07-01,,,Adygey,Russia,1
1748-08-01,,,Adygey,Russia,1
1748-09-01,,,Adygey,Russia,1
1748-10-01,,,Adygey,Russia,1
1748-11-01,,,Adygey,Russia,1
1748-12-01,,,Adygey,Russia,1
1749-01-01,,,Adygey,Russia,1
1749-02-01,,,Adygey,Russia,1
1749-03-01,,,Adygey,Russia,1
1749-04-01,,,Adygey,Russia,1
1749-05-01,,,Adygey,Russia,1
1749-06-01,,,Adygey,Russia,1
1749-07-01,,,Adygey,Russia,1
1749-08-01,,,Adygey,Russia,1
1749-09-01,,,Adygey,Russia,1
1749-10-01,,,Adygey,Russia,1
1749-11-01,,,Adygey,Russia,1
1749-12-01,,,Adygey,Russia,1
1750-01-01,,,Adygey,Russia,1
1750-02-01,,,Adygey,Russia,1
1750-03-01,,,Adygey,Russia,1
1750-04-01,,,Adygey,Russia,1
1750-05-01,,,Adygey,Russia,1
1750-06-01,,,Adygey,Russia,1
1750-07-01,,,Adygey,Russia,1
1750-08-01,,,Adygey,Russia,1
1750-09-01,,,Adygey,Russia,1
1750-10-01,,,Adygey,Russia,1
1750-11-01,,,Adygey,Russia,1
1750-12-01,,,Adygey,Russia,1
1751-01-01,,,Adygey,Russia,1
1751-02-01,,,Adygey,Russia,1
1751-03-01,,,Adygey,Russia,1
1751-04-01,,,Adygey,Russia,1
1751-05-01,,,Adygey,Russia,1
1751-06-01,,,Adygey,Russia,1
1751-07-01,,,Adygey,Russia,1
1751-08-01,,,Adygey,Russia,1
1751-09-01,,,Adygey,Russia,1
1751-10-01,,,Adygey,Russia,1
1751-11-01,,,Adygey,Russia,1
1751-12-01,,,Adygey,Russia,1
1752-01-01,-3.734,3.025,Adygey,Russia,1
1752-02-01,,,Adygey,Russia,1
1752-03-01,5.2170000000000005,2.979,Adygey,Russia,1
1752-04-01,9.258,2.919,Adygey,Russia,1
1752-05-01,,,Adygey,Russia,1
1752-06-01,,,Adygey,Russia,1
1752-07-01,,,Adygey,Russia,1
1752-08-01,,,Adygey,Russia,1
1752-09-01,,,Adygey,Russia,1
1752-10-01,9.428,2.929,Adygey,Russia,1
1752-11-01,6.607,2.8760000000000003,Adygey,Russia,1
1752-12-01,2.147,2.893,Adygey,Russia,1
1753-01-01,-1.974,5.095,Adygey,Russia,1
1753-02-01,-2.115,3.123,Adygey,Russia,1
1753-03-01,5.101,3.489,Adygey,Russia,1
1753-04-01,9.469,4.692,Adygey,Russia,1
1753-05-01,15.616,3.0410000000000004,Adygey,Russia,1
1753-06-01,19.971,3.287,Adygey,Russia,1
1753-07-01,21.878,3.0410000000000004,Adygey,Russia,1
1753-08-01,20.706,5.148,Adygey,Russia,1
1753-09-01,16.4,2.866,Adygey,Russia,1
1753-10-01,10.74,2.923,Adygey,Russia,1
1753-11-01,4.944,3.379,Adygey,Russia,1
1753-12-01,-2.623,3.737,Adygey,Russia,1
1754-01-01,-2.373,3.09,Adygey,Russia,1
1754-02-01,-4.14,3.423,Adygey,Russia,1
1754-03-01,3.2110000000000003,3.305,Adygey,Russia,1
1754-04-01,13.017,4.723,Adygey,Russia,1
1754-05-01,15.456,3.4160000000000004,Adygey,Russia,1
1754-06-01,20.083,2.8560000000000003,Adygey,Russia,1
1754-07-01,21.629,3.195,Adygey,Russia,1
1754-08-01,20.071,3.832,Adygey,Russia,1
1754-09-01,15.497,3.254,Adygey,Russia,1
1754-10-01,11.354,3.025,Adygey,Russia,1
1754-11-01,5.658,2.899,Adygey,Russia,1
1754-12-01,1.807,3.195,Adygey,Russia,1
1755-01-01,-3.2390000000000003,3.962,Adygey,Russia,1
1755-02-01,-3.221,3.771,Adygey,Russia,1
1755-03-01,3.3,3.66,Adygey,Russia,1
1755-04-01,10.447,3.531,Adygey,Russia,1
1755-05-01,16.368,3.344,Adygey,Russia,1
1755-06-01,21.137,3.3080000000000003,Adygey,Russia,1
1755-07-01,22.007,3.052,Adygey,Russia,1
1755-08-01,20.113,3.321,Adygey,Russia,1
1755-09-01,16.22,2.857,Adygey,Russia,1
1755-10-01,10.33,5.13,Adygey,Russia,1
1755-11-01,5.806,5.149,Adygey,Russia,1
1755-12-01,-0.5140000000000002,5.057,Adygey,Russia,1
1756-01-01,0.4449999999999998,4.42,Adygey,Russia,1
1756-02-01,3.3200000000000003,3.736,Adygey,Russia,1
1756-03-01,3.955,4.802,Adygey,Russia,1
1756-04-01,11.62,3.073,Adygey,Russia,1
1756-05-01,16.753999999999998,4.822,Adygey,Russia,1
1756-06-01,20.585,3.384,Adygey,Russia,1
1756-07-01,21.55,2.995,Adygey,Russia,1
1756-08-01,19.779,6.165,Adygey,Russia,1
1756-09-01,16.984,3.407,Adygey,Russia,1
1756-10-01,9.381,3.55,Adygey,Russia,1
1756-11-01,3.864,3.741,Adygey,Russia,1
1756-12-01,-1.327,3.115,Adygey,Russia,1
1757-01-01,-3.939,3.048,Adygey,Russia,1
1757-02-01,1.6070000000000002,3.675,Adygey,Russia,1
1757-03-01,4.329,3.411,Adygey,Russia,1
1757-04-01,10.051,4.784,Adygey,Russia,1
1757-05-01,16.38,3.507,Adygey,Russia,1
1757-06-01,23.048,3.443,Adygey,Russia,1
1757-07-01,25.277,4.551,Adygey,Russia,1
1757-08-01,22.041,3.844,Adygey,Russia,1
1757-09-01,18.292,5.652,Adygey,Russia,1
1757-10-01,7.41,7.122000000000001,Adygey,Russia,1
1757-11-01,3.805,4.333,Adygey,Russia,1
1757-12-01,-2.4519999999999995,6.48,Adygey,Russia,1
1758-01-01,-6.26,3.055,Adygey,Russia,1
1758-02-01,-1.975,3.279,Adygey,Russia,1
1758-03-01,3.012,3.772,Adygey,Russia,1
1758-04-01,8.376000000000001,5.239,Adygey,Russia,1
1758-05-01,12.832999999999998,4.053999999999999,Adygey,Russia,1
1758-06-01,18.713,4.173,Adygey,Russia,1
1758-07-01,21.152,5.67,Adygey,Russia,1
1758-08-01,18.644,4.687,Adygey,Russia,1
1758-09-01,14.192,3.284,Adygey,Russia,1
1758-10-01,5.667999999999999,6.98,Adygey,Russia,1
1758-11-01,5.272,6.144,Adygey,Russia,1
1758-12-01,0.2749999999999999,4.627,Adygey,Russia,1
1759-01-01,1.095,4.996,Adygey,Russia,1
1759-02-01,0.8460000000000001,5.12,Adygey,Russia,1
1759-03-01,3.702,3.495,Adygey,Russia,1
1759-04-01,7.283000000000001,4.209,Adygey,Russia,1
1759-05-01,13.255999999999998,3.354,Adygey,Russia,1
1759-06-01,19.172,4.512,Adygey,Russia,1
1759-07-01,19.847,3.782,Adygey,Russia,1
1759-08-01,21.948,4.907,Adygey,Russia,1
1759-09-01,16.951,4.743,Adygey,Russia,1
1759-10-01,9.604,3.765,Adygey,Russia,1
1759-11-01,3.162,4.4830000000000005,Adygey,Russia,1
1759-12-01,-4.195,6.421,Adygey,Russia,1
1760-01-01,-4.9510000000000005,3.77,Adygey,Russia,1
1760-02-01,-0.9219999999999998,3.423,Adygey,Russia,1
1760-03-01,0.774,6.287000000000001,Adygey,Russia,1
1760-04-01,8.082,4.285,Adygey,Russia,1
1760-05-01,13.717,3.576,Adygey,Russia,1
1760-06-01,17.186,3.111,Adygey,Russia,1
1760-07-01,19.705,3.753,Adygey,Russia,1
1760-08-01,20.767,5.574,Adygey,Russia,1
1760-09-01,16.197,4.164,Adygey,Russia,1
1760-10-01,8.727,4.039,Adygey,Russia,1
1760-11-01,4.547,3.4530000000000003,Adygey,Russia,1
1760-12-01,-0.4649999999999999,3.256,Adygey,Russia,1
1761-01-01,-3.58,4.837,Adygey,Russia,1
1761-02-01,-0.292,3.588,Adygey,Russia,1
1761-03-01,5.296,2.9760000000000004,Adygey,Russia,1
1761-04-01,7.815,3.593,Adygey,Russia,1
1761-05-01,16.494999999999994,3.967,Adygey,Russia,1
1761-06-01,22.248,3.025,Adygey,Russia,1
1761-07-01,25.991,4.756,Adygey,Russia,1
1761-08-01,21.532,3.472,Adygey,Russia,1
1761-09-01,17.064,3.776,Adygey,Russia,1
1761-10-01,9.313,4.089,Adygey,Russia,1
1761-11-01,3.925,3.149,Adygey,Russia,1
1761-12-01,-4.295,3.131,Adygey,Russia,1
1762-01-01,2.727,3.1910000000000003,Adygey,Russia,1
1762-02-01,2.233,5.5360000000000005,Adygey,Russia,1
1762-03-01,2.803,3.647,Adygey,Russia,1
1762-04-01,9.882,3.529,Adygey,Russia,1
1762-05-01,13.812,4.364,Adygey,Russia,1
1762-06-01,19.687,4.631,Adygey,Russia,1
1762-07-01,21.833,3.221,Adygey,Russia,1
1762-08-01,20.239,3.139,Adygey,Russia,1
1762-09-01,14.811,5.274,Adygey,Russia,1
1762-10-01,7.928000000000001,3.655,Adygey,Russia,1
1762-11-01,6.024,3.129,Adygey,Russia,1
1762-12-01,-0.6200000000000001,4.09,Adygey,Russia,1
1763-01-01,-2.978,4.552,Adygey,Russia,1
1763-02-01,-1.739,3.5780000000000003,Adygey,Russia,1
1763-03-01,0.3930000000000001,4.819,Adygey,Russia,1
1763-04-01,8.709,3.068,Adygey,Russia,1
1763-05-01,13.922999999999998,3.359,Adygey,Russia,1
1763-06-01,17.409000000000002,4.298,Adygey,Russia,1
1763-07-01,23.461,2.999,Adygey,Russia,1
1763-08-01,20.765,3.341,Adygey,Russia,1
1763-09-01,15.263,3.284,Adygey,Russia,1
1763-10-01,6.799,4.289,Adygey,Russia,1
1763-11-01,,,Adygey,Russia,1
1763-12-01,,,Adygey,Russia,1
1764-01-01,,,Adygey,Russia,1
1764-02-01,,,Adygey,Russia,1
1764-03-01,,,Adygey,Russia,1
1764-04-01,,,Adygey,Russia,1
1764-05-01,,,Adygey,Russia,1
1764-06-01,,,Adygey,Russia,1
1764-07-01,,,Adygey,Russia,1
1764-08-01,,,Adygey,Russia,1
1764-09-01,,,Adygey,Russia,1
1764-10-01,,,Adygey,Russia,1
1764-11-01,,,Adygey,Russia,1
1764-12-01,,,Adygey,Russia,1
1765-01-01,,,Adygey,Russia,1
1765-02-01,,,Adygey,Russia,1
1765-03-01,,,Adygey,Russia,1
1765-04-01,,,Adygey,Russia,1
1765-05-01,,,Adygey,Russia,1
1765-06-01,,,Adygey,Russia,1
1765-07-01,,,Adygey,Russia,1
1765-08-01,,,Adygey,Russia,1
1765-09-01,,,Adygey,Russia,1
1765-10-01,,,Adygey,Russia,1
1765-11-01,,,Adygey,Russia,1
1765-12-01,,,Adygey,Russia,1
1766-01-01,,,Adygey,Russia,1
1766-02-01,,,Adygey,Russia,1
1766-03-01,,,Adygey,Russia,1
1766-04-01,9.516,3.332,Adygey,Russia,1
1766-05-01,15.191999999999998,3.265,Adygey,Russia,1
1766-06-01,,,Adygey,Russia,1
1766-07-01,20.183,3.661,Adygey,Russia,1
1766-08-01,,,Adygey,Russia,1
1766-09-01,,,Adygey,Russia,1
1766-10-01,,,Adygey,Russia,1
1766-11-01,,,Adygey,Russia,1
1766-12-01,,,Adygey,Russia,1
1767-01-01,,,Adygey,Russia,1
1767-02-01,,,Adygey,Russia,1
1767-03-01,5.492999999999999,5.2570000000000014,Adygey,Russia,1
1767-04-01,7.346,4.41,Adygey,Russia,1
1767-05-01,13.864,3.169,Adygey,Russia,1
1767-06-01,19.652,3.563,Adygey,Russia,1
1767-07-01,20.556,3.488,Adygey,Russia,1
1767-08-01,22.02,3.103,Adygey,Russia,1
1767-09-01,16.755,3.73,Adygey,Russia,1
1767-10-01,10.895,3.2310000000000003,Adygey,Russia,1
1767-11-01,8.471,5.0680000000000005,Adygey,Russia,1
1767-12-01,-0.3169999999999997,4.096,Adygey,Russia,1
1768-01-01,-6.209,6.936,Adygey,Russia,1
1768-02-01,-3.619,4.7330000000000005,Adygey,Russia,1
1768-03-01,0.5489999999999999,4.105,Adygey,Russia,1
1768-04-01,8.58,3.58,Adygey,Russia,1
1768-05-01,12.239,3.112,Adygey,Russia,1
1768-06-01,17.772000000000002,3.891,Adygey,Russia,1
1768-07-01,21.003,3.804,Adygey,Russia,1
1768-08-01,19.81,3.003,Adygey,Russia,1
1768-09-01,16.009,3.812,Adygey,Russia,1
1768-10-01,9.559,4.353,Adygey,Russia,1
1768-11-01,4.921,3.782,Adygey,Russia,1
1768-12-01,1.46,4.391,Adygey,Russia,1
1769-01-01,-0.259,3.641,Adygey,Russia,1
1769-02-01,-0.97,3.398,Adygey,Russia,1
1769-03-01,3.364,4.279,Adygey,Russia,1
1769-04-01,10.115,4.752,Adygey,Russia,1
1769-05-01,16.395,5.684,Adygey,Russia,1
1769-06-01,20.992,3.798,Adygey,Russia,1
1769-07-01,21.824,4.386,Adygey,Russia,1
1769-08-01,21.213,3.839,Adygey,Russia,1
1769-09-01,16.45,2.914,Adygey,Russia,1
1769-10-01,6.865,3.306,Adygey,Russia,1
1769-11-01,2.979,2.888,Adygey,Russia,1
1769-12-01,-2.075,3.422,Adygey,Russia,1
1770-01-01,-1.169,4.505,Adygey,Russia,1
1770-02-01,0.175,3.418,Adygey,Russia,1
1770-03-01,0.0630000000000001,3.665,Adygey,Russia,1
1770-04-01,11.732,7.183,Adygey,Russia,1
1770-05-01,13.725,2.967,Adygey,Russia,1
1770-06-01,17.362000000000002,3.419,Adygey,Russia,1
1770-07-01,18.377,5.049,Adygey,Russia,1
1770-08-01,18.866,3.636,Adygey,Russia,1
1770-09-01,16.055999999999997,3.276,Adygey,Russia,1
1770-10-01,11.082,4.051,Adygey,Russia,1
1770-11-01,6.5,4.203,Adygey,Russia,1
1770-12-01,4.16,5.989,Adygey,Russia,1
1771-01-01,2.239,4.613,Adygey,Russia,1
1771-02-01,-4.607,3.638,Adygey,Russia,1
1771-03-01,0.7810000000000001,5.176,Adygey,Russia,1
1771-04-01,6.916,4.904,Adygey,Russia,1
1771-05-01,13.118,6.557,Adygey,Russia,1
1771-06-01,19.67,3.207,Adygey,Russia,1
1771-07-01,20.948,2.951,Adygey,Russia,1
1771-08-01,21.659,3.176,Adygey,Russia,1
1771-09-01,16.845,2.963,Adygey,Russia,1
1771-10-01,12.02,3.015,Adygey,Russia,1
1771-11-01,4.343999999999999,3.948,Adygey,Russia,1
1771-12-01,1.196,3.594,Adygey,Russia,1
1772-01-01,-1.725,4.766,Adygey,Russia,1
1772-02-01,-2.516,5.945,Adygey,Russia,1
1772-03-01,1.922,3.904,Adygey,Russia,1
1772-04-01,10.534,3.787,Adygey,Russia,1
1772-05-01,13.185,2.962,Adygey,Russia,1
1772-06-01,17.948999999999995,3.729,Adygey,Russia,1
1772-07-01,21.965,3.272,Adygey,Russia,1
1772-08-01,21.639,3.826,Adygey,Russia,1
1772-09-01,15.893,3.391,Adygey,Russia,1
1772-10-01,11.4,3.092,Adygey,Russia,1
1772-11-01,8.579,4.112,Adygey,Russia,1
1772-12-01,4.502,3.379,Adygey,Russia,1
1773-01-01,-4.401,3.1860000000000004,Adygey,Russia,1
1773-02-01,-1.707,3.284,Adygey,Russia,1
1773-03-01,3.049,3.0580000000000003,Adygey,Russia,1
1773-04-01,11.193,3.222,Adygey,Russia,1
1773-05-01,17.141,3.469,Adygey,Russia,1
1773-06-01,18.407,2.935,Adygey,Russia,1
