Year,Avg_Land_Temperature_C,Avg_LandOcean_Temperature_C,Avg_Emissions_MtCO2e,Avg_Sea_Level_mm,source,Avg_Land_Temperature_C_Normalized,Avg_LandOcean_Temperature_C_Normalized,Avg_Emissions_MtCO2e_Normalized,Avg_Sea_Level_mm_Normalized,Decade
1990,9.2342,15.6293,22849.92,-22.8474,historical,0.2899,0.1653,0.0,0.0,1990
1991,9.1794,15.598,23056.4,-22.8141,historical,0.25,0.1359,0.0133,0.0003,1990
1992,8.8366,15.453,22988.29,-20.2474,historical,0.0,0.0,0.0089,0.024,1990
1993,8.8666,15.4664,23124.0,-22.7807,historical,0.0219,0.0126,0.0176,0.0006,1990
1994,9.0388,15.535,23260.29,-17.9807,historical,0.1474,0.0769,0.0264,0.0449,1990
1995,9.3471,15.6378,23890.22,-15.5807,historical,0.3723,0.1732,0.0669,0.067,1990
1996,9.0389,15.5247,24214.92,-11.9474,historical,0.1475,0.0672,0.0878,0.1005,1990
1997,9.2026,15.7138,25292.92,-2.6474,historical,0.2669,0.2445,0.1572,0.1863,1990
1998,9.5227,15.826,24895.32,-10.8141,historical,0.5003,0.3496,0.1316,0.111,1990
1999,9.2851,15.6003,24957.3,-0.2474,historical,0.3271,0.1381,0.1356,0.2084,1990
2000,9.2012,15.6107,25637.87,2.9526,historical,0.2659,0.1478,0.1794,0.2379,2000
2001,9.4146,15.7675,25726.42,4.7193,historical,0.4215,0.2948,0.1851,0.2542,2000
2002,9.5704,15.8292,26486.63,2.1526,historical,0.5351,0.3525,0.234,0.2306,2000
2003,9.5256,15.8266,27308.37,14.6193,historical,0.5024,0.3501,0.2868,0.3455,2000
2004,9.3246,15.7572,28826.48,13.6526,historical,0.3559,0.2851,0.3845,0.3366,2000
2005,9.7009,15.8792,29663.75,12.1193,historical,0.6303,0.3995,0.4383,0.3225,2000
2006,9.5325,15.8135,30905.93,9.5193,historical,0.5075,0.3379,0.5183,0.2985,2000
2007,9.7322,15.8273,31608.28,22.7859,historical,0.6531,0.3508,0.5634,0.4208,2000
2008,9.4317,15.7212,31856.76,30.4526,historical,0.434,0.2514,0.5794,0.4915,2000
2009,9.5052,15.8272,31769.89,33.6526,historical,0.4876,0.3507,0.5738,0.5211,2000
2010,9.7031,15.8955,33328.38,33.8782,historical,0.6319,0.4147,0.6741,0.5231,2010
2011,9.516,15.7695,33226.01,36.7185,historical,0.4954,0.2966,0.6675,0.5493,2010
2012,9.5073,15.8023,33620.34,47.1739,historical,0.4891,0.3274,0.6929,0.6458,2010
2013,9.6065,15.8544,34217.18,41.338,historical,0.5614,0.3762,0.7313,0.5919,2010
2014,9.5707,15.913,34558.59,53.8574,historical,0.5353,0.4311,0.7532,0.7074,2010
2015,9.831,16.0586,34521.91,50.4617,historical,0.7252,0.5676,0.7509,0.6761,2010
2016,9.82,,35160.6,54.347,historical,0.7171,,0.792,0.7119,2010
2017,9.865,,35588.7,57.356,historical,0.7499,,0.8195,0.7397,2010
2018,9.881,,36441.55,53.0851,historical,0.7616,,0.8744,0.7003,2010
2019,9.892,,37081.16,61.3937,historical,0.7696,,0.9155,0.7769,2010
2020,9.64,,35261.23,66.7043,historical,0.5859,,0.7984,0.8259,2020
2021,9.9295,16.1735,37129.54,73.1889,synthetic,0.797,0.6753,0.9186,0.8857,2020
2022,9.8844,16.1869,37981.84,76.2555,synthetic,0.7641,0.6878,0.9735,0.914,2020
2023,10.0688,16.52,37647.32,78.6057,synthetic,0.8986,1.0,0.9519,0.9356,2020
2024,10.2079,16.3945,37765.02,82.6609,synthetic,1.0,0.8824,0.9595,0.973,2020
2025,9.8904,16.2937,38394.34,85.5859,synthetic,0.7685,0.7879,1.0,1.0,2020
