Year,date,Sea Level,source,Linear_Trend,Trend_Rate_mm_per_yr,YoY_Change_mm,Moving_Avg_10yr,Decade,Sea_Level_Relative
1880,07/15/1880,-183.2474,historical,-199.1417,1.6938,,,1880,0.0
1881,07/15/1881,-174.0141,historical,-197.4478,1.6938,9.2333,,1880,9.2333
1882,07/15/1882,-190.0807,historical,-195.754,1.6938,-16.0667,,1880,-6.8333
1883,07/15/1883,-185.1474,historical,-194.0601,1.6938,4.9333,,1880,-1.9
1884,07/15/1884,-166.2807,historical,-192.3663,1.6938,18.8667,,1880,16.9667
1885,07/15/1885,-167.6807,historical,-190.6724,1.6938,-1.4,-174.3207,1880,15.5667
1886,07/15/1886,-164.2141,historical,-188.9786,1.6938,3.4667,-172.6941,1880,19.0333
1887,07/15/1887,-170.2141,historical,-187.2847,1.6938,-6.0,-172.0641,1880,13.0333
1888,07/15/1888,-172.6141,historical,-185.5909,1.6938,-2.4,-169.8141,1880,10.6333
1889,07/15/1889,-169.7141,historical,-183.897,1.6938,2.9,-167.5974,1880,13.5333
1890,07/15/1890,-166.9807,historical,-182.2032,1.6938,2.7333,-168.6574,1890,16.2667
1891,07/15/1891,-167.7141,historical,-180.5093,1.6938,-0.7333,-168.2041,1890,15.5333
1892,07/15/1892,-167.5807,historical,-178.8155,1.6938,0.1333,-167.8141,1890,15.6667
1893,07/15/1893,-162.9807,historical,-177.1216,1.6938,4.6,-166.0074,1890,20.2667
1894,07/15/1894,-176.8807,historical,-175.4278,1.6938,-13.9,-164.4574,1890,6.3667
1895,07/15/1895,-163.1474,historical,-173.7339,1.6938,13.7333,-162.6541,1890,20.1
1896,07/15/1896,-160.3141,historical,-172.0401,1.6938,2.8333,-161.1607,1890,22.9333
1897,07/15/1897,-152.1474,historical,-170.3462,1.6938,8.1667,-160.0441,1890,31.1
1898,07/15/1898,-157.1141,historical,-168.6524,1.6938,-4.9667,-158.6574,1890,26.1333
1899,07/15/1899,-151.6807,historical,-166.9585,1.6938,5.4333,-156.1941,1890,31.5667
1900,7/15/1900,-152.0474,historical,-165.2647,1.6938,-0.3667,-153.7307,1900,31.2
1901,7/15/1901,-156.5474,historical,-163.5708,1.6938,-4.5,-152.8574,1900,26.7
1902,7/15/1902,-153.7141,historical,-161.877,1.6938,2.8333,-151.5107,1900,29.5333
1903,7/15/1903,-138.3474,historical,-160.1831,1.6938,15.3667,-151.0341,1900,44.9
1904,7/15/1904,-152.2474,historical,-158.4893,1.6938,-13.9,-150.2841,1900,31.0
1905,7/15/1905,-154.4141,historical,-156.7954,1.6938,-2.1667,-150.3941,1900,28.8333
1906,7/15/1906,-146.8474,historical,-155.1016,1.6938,7.5667,-149.8207,1900,36.4
1907,7/15/1907,-147.3807,historical,-153.4077,1.6938,-0.5333,-148.3041,1900,35.8667
1908,7/15/1908,-149.6141,historical,-151.7139,1.6938,-2.2333,-147.1974,1900,33.6333
1909,7/15/1909,-152.7807,historical,-150.02,1.6938,-3.1667,-147.3941,1900,30.4667
1910,7/15/1910,-146.3141,historical,-148.3262,1.6938,6.4667,-146.5307,1910,36.9333
1911,7/15/1911,-141.3807,historical,-146.6323,1.6938,4.9333,-144.6841,1910,41.8667
1912,7/15/1912,-142.6474,historical,-144.9385,1.6938,-1.2667,-143.4774,1910,40.6
1913,7/15/1913,-140.3141,historical,-143.2446,1.6938,2.3333,-142.1874,1910,42.9333
1914,7/15/1914,-143.6141,historical,-141.5508,1.6938,-3.3,-140.7974,1910,39.6333
1915,7/15/1915,-135.9474,historical,-139.8569,1.6938,7.6667,-138.3674,1910,47.3
1916,7/15/1916,-134.7807,historical,-138.1631,1.6938,1.1667,-136.4541,1910,48.4667
1917,7/15/1917,-134.4807,historical,-136.4692,1.6938,0.3,-135.2707,1910,48.7667
1918,7/15/1918,-135.7141,historical,-134.7754,1.6938,-1.2333,-134.3707,1910,47.5333
1919,7/15/1919,-128.4807,historical,-133.0815,1.6938,7.2333,-133.2941,1910,54.7667
1920,7/15/1920,-127.1807,historical,-131.3877,1.6938,1.3,-132.8307,1920,56.0667
1921,7/15/1921,-129.5474,historical,-129.6938,1.6938,-2.3667,-133.0807,1920,53.7
1922,7/15/1922,-133.6474,historical,-128.0,1.6938,-4.1,-132.2307,1920,49.6
1923,7/15/1923,-129.5474,historical,-126.3061,1.6938,4.1,-131.5574,1920,53.7
1924,7/15/1924,-138.9807,historical,-124.6123,1.6938,-9.4333,-130.8741,1920,44.2667
1925,7/15/1925,-138.4474,historical,-122.9184,1.6938,0.5333,-130.9341,1920,44.8
1926,7/15/1926,-126.2807,historical,-121.2246,1.6938,12.1667,-130.5074,1920,56.9667
1927,7/15/1927,-127.7474,historical,-119.5307,1.6938,-1.4667,-130.2274,1920,55.5
1928,7/15/1928,-128.8807,historical,-117.8369,1.6938,-1.1333,-129.3774,1920,54.3667
1929,7/15/1929,-129.0807,historical,-116.143,1.6938,-0.2,-128.4207,1920,54.1667
1930,7/15/1930,-122.9141,historical,-114.4492,1.6938,6.1667,-127.2574,1930,60.3333
1931,7/15/1931,-126.7474,historical,-112.7553,1.6938,-3.8333,-125.2274,1930,56.5
1932,7/15/1932,-125.1474,historical,-111.0615,1.6938,1.6,-125.0807,1930,58.1
1933,7/15/1933,-119.9807,historical,-109.3676,1.6938,5.1667,-124.2941,1930,63.2667
1934,7/15/1934,-127.3474,historical,-107.6738,1.6938,-7.3667,-123.5607,1930,55.9
1935,7/15/1935,-118.1474,historical,-105.9799,1.6938,9.2,-120.8007,1930,65.1
1936,7/15/1936,-124.8141,historical,-104.2861,1.6938,-6.6667,-120.6774,1930,58.4333
1937,7/15/1937,-119.8807,historical,-102.5922,1.6938,4.9333,-118.0774,1930,63.3667
1938,7/15/1938,-121.5474,historical,-100.8984,1.6938,-1.6667,-115.7074,1930,61.7
1939,7/15/1939,-101.4807,historical,-99.2045,1.6938,20.0667,-114.1107,1930,81.7667
1940,7/15/1940,-121.6807,historical,-97.5107,1.6938,-20.2,-113.0707,1940,61.5667
1941,7/15/1941,-100.7474,historical,-95.8169,1.6938,20.9333,-111.7007,1940,82.5
